1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,167.0,189.0,190.0,168.0,166.0,-82.82,-91.05,-93.39,-123.9,-156.0,-156.0,-0.2816841436267909,0.6321656565211177
169.0,167.0,189.0,190.0,168.0,166.0,-82.82,-91.05,-93.39,-123.9,-156.0,-156.0,-0.2816841436267909,0.6321656565211177
169.0,167.0,189.0,190.0,168.0,,-85.63,-92.09,-92.11,-92.19,-156.0,,-0.2816841436267909,0.6321656565211177
169.0,167.0,189.0,190.0,168.0,,-85.63,-92.09,-92.11,-92.19,-156.0,,-0.2816841436267909,0.6321656565211177
189.0,169.0,190.0,166.0,167.0,168.0,-88.46,-89.33,-89.53,-94.05,-94.65,-124.56,-0.2816841436267909,0.6321656565211177
189.0,169.0,190.0,166.0,167.0,168.0,-88.46,-89.33,-89.53,-94.05,-94.65,-124.56,-0.2816841436267909,0.6321656565211177
189.0,169.0,190.0,166.0,167.0,168.0,-88.46,-89.33,-89.53,-94.05,-94.65,-124.56,-0.2816841436267909,0.6321656565211177
190.0,166.0,169.0,168.0,189.0,167.0,-86.91,-87.62,-88.32,-89.38,-90.17,-91.59,-0.2816841436267909,0.6321656565211177
190.0,166.0,169.0,168.0,189.0,167.0,-86.91,-87.62,-88.32,-89.38,-90.17,-91.59,-0.2816841436267909,0.6321656565211177
169.0,189.0,190.0,167.0,166.0,168.0,-82.37,-88.42,-88.63,-89.95,-90.34,-123.58,-0.2816841436267909,0.6321656565211177
169.0,189.0,190.0,167.0,166.0,168.0,-82.37,-88.42,-88.63,-89.95,-90.34,-123.58,-0.2816841436267909,0.6321656565211177
169.0,189.0,190.0,167.0,166.0,168.0,-82.37,-88.42,-88.63,-89.95,-90.34,-123.58,-0.2816841436267909,0.6321656565211177
169.0,189.0,190.0,166.0,167.0,168.0,-81.94,-86.14,-89.0,-91.3,-122.1,-123.68,-0.3352816914350552,0.9211203363272192
169.0,189.0,190.0,166.0,167.0,168.0,-81.94,-86.14,-89.0,-91.3,-122.1,-123.68,-0.3352816914350552,0.9211203363272192
169.0,189.0,190.0,166.0,167.0,168.0,-81.94,-86.14,-89.0,-91.3,-122.1,-123.68,-0.3352816914350552,0.9211203363272192
169.0,168.0,190.0,166.0,167.0,189.0,-84.63,-88.59,-89.18,-89.52,-91.07,-91.38,-0.3352816914350552,0.9211203363272192
169.0,168.0,190.0,166.0,167.0,189.0,-84.63,-88.59,-89.18,-89.52,-91.07,-91.38,-0.3352816914350552,0.9211203363272192
190.0,169.0,167.0,168.0,189.0,166.0,-86.59,-88.16,-90.48,-91.05,-93.21,-125.16,-0.3352816914350552,0.9211203363272192
190.0,169.0,167.0,168.0,189.0,166.0,-86.59,-88.16,-90.48,-91.05,-93.21,-125.16,-0.3352816914350552,0.9211203363272192
190.0,169.0,167.0,168.0,189.0,166.0,-86.59,-88.16,-90.48,-91.05,-93.21,-125.16,-0.3352816914350552,0.9211203363272192
169.0,167.0,190.0,166.0,168.0,189.0,-82.28,-87.06,-88.08,-89.13,-89.14,-90.97,-0.3352816914350552,0.9211203363272192
169.0,167.0,190.0,166.0,168.0,189.0,-82.28,-87.06,-88.08,-89.13,-89.14,-90.97,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,,,,-82.09,-90.27,-97.51,,,,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,,,,-82.09,-90.27,-97.51,,,,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,,,,-82.09,-90.27,-97.51,,,,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,166.0,,,-79.61,-87.74,-125.36,-156.0,,,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,166.0,,,-79.61,-87.74,-125.36,-156.0,,,-0.3352816914350552,0.9211203363272192
169.0,167.0,168.0,166.0,,,-79.61,-87.74,-125.36,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-80.74,-86.8,-127.3,-156.0,,,-0.3307433381086974,1.198062587685865
