166,167,168,169,189,190,x,y
-90.91,-83.74,,-82.95,,,-0.2859912172986369,1.465631129328121
-90.91,-83.74,,-82.95,,,-0.2859912172986369,1.465631129328121
-90.63,-85.84,,-82.57,,,-0.2859912172986369,1.465631129328121
-90.63,-85.84,,-82.57,,,-0.2293292648664461,1.7121399899952958
-123.08,-89.02,,-81.66,,,-0.2293292648664461,1.7121399899952958
-123.08,-89.02,,-81.66,,,-0.2293292648664461,1.7121399899952958
-123.08,-89.02,,-81.66,,,-0.2293292648664461,1.7121399899952958
-90.19,-88.0,-156.0,-80.54,,,-0.2293292648664461,1.7121399899952958
-90.19,-88.0,-156.0,-80.54,,,-0.2293292648664461,1.7121399899952958
-88.5,-83.77,-156.0,-79.73,,,-0.2293292648664461,1.7121399899952958
-88.5,-83.77,-156.0,-79.73,,,-0.2293292648664461,1.7121399899952958
-88.5,-83.77,-156.0,-79.73,,,-0.2293292648664461,1.7121399899952958
-156.0,-84.45,-94.63,-78.84,,,-0.2293292648664461,1.7121399899952958
-156.0,-84.45,-94.63,-78.84,,,-0.2293292648664461,1.7121399899952958
-156.0,-84.45,-94.63,-78.84,,,-0.2293292648664461,1.7121399899952958
-87.24,-86.07,-156.0,-81.03,,,-0.2293292648664461,1.7121399899952958
-87.24,-86.07,-156.0,-81.03,,,-0.2119848429440707,1.990674163201368
-87.24,-86.07,-156.0,-81.03,,,-0.2119848429440707,1.990674163201368
-123.8,-89.76,-156.0,-79.9,,-123.43,-0.2119848429440707,1.990674163201368
-123.8,-89.76,-156.0,-79.9,,-123.43,-0.2119848429440707,1.990674163201368
-121.98,-87.23,-156.0,-79.77,,-89.72,-0.2119848429440707,1.990674163201368
-121.98,-87.23,-156.0,-79.77,,-89.72,-0.2119848429440707,1.990674163201368
-121.98,-87.23,-156.0,-79.77,,-89.72,-0.2119848429440707,1.990674163201368
-122.05,-84.44,,-79.39,,-156.0,-0.2119848429440707,1.990674163201368
-122.05,-84.44,,-79.39,,-156.0,-0.2119848429440707,1.990674163201368
-125.49,-83.85,,-78.84,,-156.0,-0.2119848429440707,1.990674163201368
-125.49,-83.85,,-78.84,,-156.0,-0.2119848429440707,1.990674163201368
-125.49,-83.85,,-78.84,,-156.0,-0.2119848429440707,1.990674163201368
-156.0,-87.02,,-78.46,,-123.34,-0.2119848429440707,1.990674163201368
-156.0,-87.02,,-78.46,,-123.34,-0.2119848429440707,1.990674163201368
-156.0,-87.02,,-78.46,,-123.34,-0.2119848429440707,1.990674163201368
-122.18,-83.59,,-79.92,,-121.96,-0.187698470849368,2.2551849502528407
-122.18,-83.59,,-79.92,,-121.96,-0.187698470849368,2.2551849502528407
-87.43,-81.99,,-79.9,,-156.0,-0.187698470849368,2.2551849502528407
-87.43,-81.99,,-79.9,,-156.0,-0.187698470849368,2.2551849502528407
-87.43,-81.99,,-79.9,,-156.0,-0.187698470849368,2.2551849502528407
-122.68,-83.75,,-80.58,,-156.0,-0.187698470849368,2.2551849502528407
-122.68,-83.75,,-80.58,,-156.0,-0.187698470849368,2.2551849502528407
-122.68,-83.75,,-80.58,,-156.0,-0.187698470849368,2.2551849502528407
-90.16,-85.69,,-79.95,,,-0.187698470849368,2.2551849502528407
-90.16,-85.69,,-79.95,,,-0.187698470849368,2.2551849502528407
-88.14,-84.21,,-78.77,,,-0.187698470849368,2.2551849502528407
-88.14,-84.21,,-78.77,,,-0.187698470849368,2.2551849502528407
-88.14,-84.21,,-78.77,,,-0.187698470849368,2.2551849502528407
-122.63,-84.32,,-78.23,,,-0.187698470849368,2.2551849502528407
-122.63,-84.32,,-78.23,,,-0.187698470849368,2.2551849502528407
-88.72,-86.8,,-77.29,,,-0.1272654525203153,2.521977410038395
-88.72,-86.8,,-77.29,,,-0.1272654525203153,2.521977410038395
-88.72,-86.8,,-77.29,,,-0.1272654525203153,2.521977410038395
-156.0,-86.05,,-77.02,,,-0.1272654525203153,2.521977410038395
-156.0,-86.05,,-77.02,,,-0.1272654525203153,2.521977410038395
-156.0,-86.05,,-77.02,,,-0.1272654525203153,2.521977410038395
-156.0,-86.88,,-76.13,,,-0.1272654525203153,2.521977410038395
-156.0,-86.88,,-76.13,,,-0.1272654525203153,2.521977410038395
-156.0,-85.56,,-74.51,,,-0.1272654525203153,2.521977410038395
-156.0,-85.56,,-74.51,,,-0.1272654525203153,2.521977410038395
-156.0,-85.56,,-74.51,,,-0.1272654525203153,2.521977410038395
-156.0,-83.96,,-74.16,,,-0.1272654525203153,2.521977410038395
-156.0,-83.96,,-74.16,,,-0.1272654525203153,2.521977410038395
-156.0,-119.67,,-74.55,,,-0.1272654525203153,2.521977410038395
-156.0,-119.67,,-74.55,,,-0.1272654525203153,2.521977410038395
-156.0,-119.67,,-74.55,,,-0.0852314778831608,2.7905116369320626
,-84.92,,-73.69,,,-0.0852314778831608,2.7905116369320626
,-84.92,,-73.69,,,-0.0852314778831608,2.7905116369320626
,-84.92,,-73.69,,,-0.0852314778831608,2.7905116369320626
,-120.21,,-72.65,,,-0.0852314778831608,2.7905116369320626
,-120.21,,-72.65,,,-0.0852314778831608,2.7905116369320626
,-120.21,,-72.65,,,-0.0852314778831608,2.7905116369320626
,-81.49,,-71.43,,,-0.0852314778831608,2.7905116369320626
,-81.49,,-71.43,,,-0.0852314778831608,2.7905116369320626
,-80.72,,-71.02,,,-0.0852314778831608,2.7905116369320626
,-80.72,,-71.02,,,-0.0852314778831608,2.7905116369320626
,-80.72,,-71.02,,,-0.0852314778831608,2.7905116369320626
,-81.84,,-70.24,,,-0.0852314778831608,2.7905116369320626
